"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SNAP231",0,0.474436239022954,0.679,0.177,0,"10","SNAP23"
"RCBTB21",0,1.55491105267795,0.608,0.107,0,"10","RCBTB2"
"DAPK11",0,2.24377260266157,0.567,0.066,0,"10","DAPK1"
"SOAT1",0,1.74226533275932,0.616,0.116,0,"10","SOAT1"
"SEC31A5",0,1.05671423068769,0.71,0.21,0,"10","SEC31A"
"SPAG93",0,0.3645692542752,0.743,0.243,0,"10","SPAG9"
"PSMD85",0,0.894297166473992,0.752,0.252,0,"10","PSMD8"
"PSMB73",0,1.14332768051915,0.69,0.19,0,"10","PSMB7"
"H2AC203",0,1.15249623746326,0.684,0.185,0,"10","H2AC20"
"HDAC41",0,1.20962275130702,0.657,0.158,0,"10","HDAC4"
"FNIP13",0,0.325864355805634,0.756,0.257,0,"10","FNIP1"
"KIF13B1",0,1.93907152257786,0.618,0.119,0,"10","KIF13B"
"NBN1",0,1.07692941978506,0.643,0.144,0,"10","NBN"
"ITFG14",0,1.17575388748842,0.725,0.226,0,"10","ITFG1"
"PUM24",0,0.913343834723017,0.783,0.285,0,"10","PUM2"
"LCORL1",0,1.97184688412765,0.608,0.11,0,"10","LCORL"
"PRDX31",0,1.4067837592885,0.617,0.119,0,"10","PRDX3"
"NMT12",0,1.37703073353256,0.656,0.158,0,"10","NMT1"
"RHEB2",0,0.932941185755407,0.673,0.176,0,"10","RHEB"
"ZNF6385",0,0.926483007949853,0.735,0.238,0,"10","ZNF638"
"HRH22",0,0.708467361040067,0.612,0.115,0,"10","HRH2"
"SSBP15",0,0.886417637464397,0.756,0.259,0,"10","SSBP1"
"CUL13",0,1.66633785387626,0.658,0.161,0,"10","CUL1"
"GLYR12",0,1.25756294571674,0.644,0.147,0,"10","GLYR1"
"BCAS34",0,1.27005467269505,0.73,0.233,0,"10","BCAS3"
"SLC16A31",0,0.57985672732386,0.63,0.133,0,"10","SLC16A3"
"KDM3B2",0,1.10387931766478,0.693,0.196,0,"10","KDM3B"
"DIP2B2",0,1.14339499619423,0.694,0.197,0,"10","DIP2B"
"SRP723",0,1.22000965264228,0.687,0.191,0,"10","SRP72"
"GPBP1L12",0,1.00312285832521,0.7,0.204,0,"10","GPBP1L1"
"CX3CR12",0,1.39327166481188,0.6,0.104,0,"10","CX3CR1"
"KANSL14",0,0.930336391967569,0.763,0.267,0,"10","KANSL1"
"RUFY3",0,2.46832891313788,0.576,0.08,0,"10","RUFY3"
"KIAA02321",0,0.417825424269081,0.685,0.19,0,"10","KIAA0232"
"HIPK23",0,1.13533282077587,0.669,0.174,0,"10","HIPK2"
"PPP6R23",0,1.23400434659242,0.673,0.178,0,"10","PPP6R2"
"FXR13",0,0.922299508597819,0.728,0.233,0,"10","FXR1"
"GRINA2",0,0.258927536073342,0.708,0.213,0,"10","GRINA"
"ABCC12",0,1.31569857440465,0.663,0.168,0,"10","ABCC1"
"SUPT4H13",0,0.452465623539356,0.752,0.257,0,"10","SUPT4H1"
"NFIC",0,1.3522564692156,0.609,0.114,0,"10","NFIC"
"PSMC14",0,1.04599317655017,0.673,0.179,0,"10","PSMC1"
"RUNX14",0,1.00607742385991,0.781,0.287,0,"10","RUNX1"
"ELOC4",0,0.961953986917937,0.678,0.184,0,"10","ELOC"
"MCL13",0,0.544471653072811,0.976,0.482,0,"10","MCL1"
"SERP14",0,0.889568548308996,0.975,0.481,0,"10","SERP1"
"GALNT71",0,1.86763554790045,0.592,0.098,0,"10","GALNT7"
"TRIO",0,2.05507682914622,0.583,0.089,0,"10","TRIO"
"HIVEP12",0,1.57528665811008,0.632,0.138,0,"10","HIVEP1"
"ZNF4672",0,1.05014965614014,0.583,0.089,0,"10","ZNF467"
"MICAL21",0,1.1395693798196,0.651,0.157,0,"10","MICAL2"
"SMIM72",0,1.27777927224448,0.646,0.152,0,"10","SMIM7"
"SMIM264",0,0.95594534716821,0.698,0.204,0,"10","SMIM26"
"MVP4",0,0.702910626104889,0.697,0.203,0,"10","MVP"
"GNB4",0,1.82840106742909,0.561,0.068,0,"10","GNB4"
"PHKB3",0,1.35843072648347,0.673,0.18,0,"10","PHKB"
"PPIG5",0,0.62305448959688,0.769,0.276,0,"10","PPIG"
"POLK",0,1.9945779642319,0.597,0.104,0,"10","POLK"
"MFSD14CP3",0,1.5113655461646,0.649,0.156,0,"10","MFSD14CP"
"BTF3L41",0,1.50319283536308,0.616,0.124,0,"10","BTF3L4"
"PPP4R3B6",0,0.971531599120204,0.716,0.224,0,"10","PPP4R3B"
"SH3BP21",0,0.56904382187153,0.632,0.14,0,"10","SH3BP2"
"RREB11",0,1.66122959527904,0.619,0.127,0,"10","RREB1"
"SLTM6",0,0.805102696540083,0.771,0.279,0,"10","SLTM"
"LILRA22",0,0.709025420255586,0.584,0.092,0,"10","LILRA2"
"APOL63",0,0.979698751852292,0.687,0.196,0,"10","APOL6"
"CD742",0,0.820539809593836,0.992,0.501,0,"10","CD74"
"ZNF7066",0,0.954749237795702,0.719,0.228,0,"10","ZNF706"
"WAPL3",0,0.739967266443032,0.706,0.215,0,"10","WAPL"
"UQCRH4",0,0.857637381998834,0.926,0.436,0,"10","UQCRH"
"DHX57",0,2.90461210081085,0.549,0.059,0,"10","DHX57"
"NPEPPS1",0,0.704066212304333,0.682,0.192,0,"10","NPEPPS"
"LARP11",0,1.29810923729025,0.656,0.166,0,"10","LARP1"
"COMMD91",0,1.88302338998232,0.59,0.1,0,"10","COMMD9"
"ITGB25",0,1.2954826515007,0.993,0.503,0,"10","ITGB2"
"DNAJC153",0,1.20460910146195,0.669,0.18,0,"10","DNAJC15"
"SLIRP4",0,1.18688690146359,0.67,0.181,0,"10","SLIRP"
"ACTR23",0,1.16971641134648,0.995,0.506,0,"10","ACTR2"
"CAB392",0,0.43987904353603,0.744,0.255,0,"10","CAB39"
"HLA-DMA2",0,1.36138580568411,0.633,0.144,0,"10","HLA-DMA"
"RAP1B3",0,0.965847202538127,0.978,0.489,0,"10","RAP1B"
"LGALS91",0,1.17969617611689,0.609,0.12,0,"10","LGALS9"
"UBE2Z",0,1.48193531063598,0.607,0.118,0,"10","UBE2Z"
"DYM5",0,1.23387431212911,0.701,0.212,0,"10","DYM"
"ETF11",0,0.41399828589248,0.68,0.192,0,"10","ETF1"
"SUSD61",0,0.592076919731753,0.668,0.18,0,"10","SUSD6"
"CALM23",0,1.05648524179508,0.983,0.495,0,"10","CALM2"
"AKAP94",0,1.03939804031838,0.742,0.254,0,"10","AKAP9"
"ARPC1A2",0,1.20894186102687,0.64,0.152,0,"10","ARPC1A"
"RNASEH2C3",0,1.19723276504351,0.658,0.17,0,"10","RNASEH2C"
"ZFC3H13",0,0.871167818795873,0.704,0.216,0,"10","ZFC3H1"
"FBXO342",0,1.5900280988843,0.654,0.166,0,"10","FBXO34"
"HDLBP1",0,1.04716245962676,0.662,0.175,0,"10","HDLBP"
"CCT53",0,1.14445889563336,0.664,0.177,0,"10","CCT5"
"PKN24",0,0.650367874928148,0.744,0.257,0,"10","PKN2"
