"gene_name","module","color","kME_grey","kME_Neutrophil-M1","kME_Neutrophil-M2","kME_Neutrophil-M3","kME_Neutrophil-M4","kME_Neutrophil-M5","kME_Neutrophil-M6","kME_Neutrophil-M7","kME_Neutrophil-M8","kME_Neutrophil-M9"
"RBM6","Neutrophil-M1","turquoise",0.242800755860049,0.287362736036081,0.160709091811776,0.0332441513560415,0.148237050810087,-0.0902404498740546,-0.00712543722203903,0.180044316735043,0.095178803407435,-0.0265901131318176
"GNAI2","Neutrophil-M5","red",0.0317129434396471,-0.0511281333090891,-0.0585442018119705,-0.0941171987809068,0.0606394153159015,0.276070201187725,-0.110669016021246,0.032004872850312,0.119611231526723,0.21923787612547
"IFRD2","Neutrophil-M6","black",0.0339751702895833,0.02870110636124,0.0742396489329198,0.00633279598035805,0.0128690175896264,-0.0436039081678559,0.144444380722196,-0.0072723607560119,-0.00990919099620991,-0.0338434522732677
"ABHD14B","Neutrophil-M3","brown",0.019404706605873,0.000909526990303158,0.0908219851384507,0.127246790073186,-0.0155700618070888,-0.0610650384116685,0.0262427033354154,-0.0428152649005148,-0.0467556464877586,-0.0636461656394832
"ABHD14A","Neutrophil-M2","blue",0.0771374693955766,0.0356651302821631,0.159766860243932,0.0459987010476012,0.0127251858598691,-0.0358802388244073,0.00696311792638538,0.00297106723986708,-0.0101970874025504,-0.0361627783100524
"RPL29","Neutrophil-M2","blue",0.243774736631205,0.174410850166179,0.317012798791512,0.0472349375710165,0.092030949208166,-0.0516523360534617,0.00632554115320882,0.0989634806380862,0.0734106922059436,-0.0199035433845215
"TWF2","Neutrophil-M4","yellow",0.108924229529803,0.141177111776922,0.0208127046165459,0.04820773868293,0.211341429759401,0.033347652223743,-0.0398961199181494,0.0689104298853573,0.0506451352548587,0.0679227438136945
"PPM1M","Neutrophil-M1","turquoise",0.185956450471723,0.26968927111595,0.0894503148098549,0.0235191903407985,0.167646697252274,-0.0698399466677786,-0.0136726822185026,0.179265835249501,0.0784467761086385,0.0147159065008399
"GNL3","Neutrophil-M2","blue",0.0948475049933752,0.0675154508238158,0.165472897757294,0.0331634964495022,0.0189901020058621,-0.0446055263743008,0.0128493849834485,0.030006750907272,0.00338206945638757,-0.0376165174656354
"SFMBT1","Neutrophil-M2","blue",0.196757671328587,0.0930934697960079,0.357482263465483,0.0717734907379338,0.0380868123183924,-0.0499449831907095,0.0181226212397171,0.038231071137199,0.0269482410316142,-0.0384236462860279
"TKT","Neutrophil-M1","turquoise",0.20614152369571,0.287704246874405,0.0320416700497854,-0.0547909472955836,0.333798882046863,0.0989885384693834,-0.100370961730857,0.194479518000382,0.131903670010419,0.221220940943596
